Week,AdStock_TV,AdStock_Digital,AdStock_Sponsorship,AdStock_ContentMarketing,AdStock_OnlineMarketing,AdStock_Affiliates,AdStock_SEM,AdStock_Radio,AdStock_Other
1,451612.9032,5645161.29,16709677.42,0,2935483.871,1129032.258,11290322.58,0,0
2,722580.6452,9032258.065,26735483.87,0,4696774.194,1806451.613,18064516.13,0,0
3,885161.2903,11064516.13,32750967.74,0,5753548.387,2212903.226,22129032.26,0,0
4,984516.129,12306451.61,36427096.77,0,6399354.839,2461290.323,24612903.23,0,0
5,762580.6452,11209677.42,29634838.71,0,5085806.452,2035483.871,22290322.58,0,0
6,436774.1935,9401612.903,19496129.03,0,3142258.065,1395161.29,18500000,0,0
7,227741.9355,8147419.355,12911612.9,0,1888064.516,977096.7742,15887096.77,0,0
8,101290.3226,7388709.677,8928387.097,0,1129354.839,724193.5484,14306451.61,0,0
9,1338064.516,7056666.667,27515268.82,200000,6184408.602,2232150.538,14776344.09,0,0
10,9889677.419,7198602.151,162439139.8,1520000,41881182.8,12962473.12,22738924.73,0,0
11,15028000,7327892.473,243625139.8,2312000,63343376.34,19415376.34,27608408.6,0,0
12,18122000,7440494.624,292601957,2788000,76277268.82,23305268.82,30607720.43,0,0
13,19942000,7506731.183,321411849.5,3068000,83885440.86,25593440.86,32372021.51,0,0
14,24637451.61,29118903.23,370653935.5,8554645.161,101191483.9,30008064.52,82381870.97,0,0
15,28099064.52,45683204.3,406218021.5,12739806.45,113881591.4,33218817.2,120588752.7,0,0
16,29942032.26,55613268.82,423852344.1,15214903.23,120517462.4,34851075.27,143286043,0,0
17,31063838.71,61657655.91,434586279.6,16721483.87,124556688.2,35844623.66,157101784.9,0,0
18,29828032.26,53282602.15,371291010.8,14258903.23,122226795.7,36084408.6,137187376.3,0,0
19,26788870.97,33588924.73,242701290.3,8625053.763,115382150.5,35972365.59,90681827.96,0,0
20,24846516.13,21132301.08,164410172,5085118.28,110847397.8,35799870.97,61314688.17,0,0
21,23654258.06,13506817.2,116972752.7,2921892.473,108038365.6,35677935.48,43345010.75,0,0
22,23360322.58,10006559.14,105229784.9,2056344.086,107264946.2,35606451.61,35640752.69,0,0
23,25350258.06,12039903.23,184088967.7,3474129.032,111419483.9,35536580.65,44024129.03,0,0
24,26590774.19,13557666.67,233256795.7,4409268.817,114021892.5,35499419.35,49755827.96,0,0
25,27404580.65,14906333.33,265522430.1,5095118.28,115746752.7,35484064.52,54229204.3,0,0
26,27883290.32,15699666.67,284502215.1,5498559.14,116761376.3,35475032.26,56860602.15,0,0
27,26451612.9,11806451.61,207010000,5328709.677,117790645.2,36439354.84,46566451.61,4354838.71,43709677.42
28,24941290.32,7782903.226,126399677.4,5092580.645,118653225.8,37405161.29,35840000,8709677.419,87419354.84
29,23973548.39,5266774.194,75593225.81,4899032.258,119040322.6,37985806.45,29065806.45,11322580.65,113645161.3
30,23386451.61,3740322.581,44770645.16,4781612.903,119275161.3,38338064.52,24956129.03,12907741.94,129555483.9
31,22133917.05,4070368.664,36192304.15,4575345.622,118823640.6,38369308.76,23849677.42,11897419.35,119414838.7
32,18958801.84,6933640.553,46755898.62,4077465.438,117140829.5,38041520.74,25373870.97,6854516.129,68799032.26
33,17100829.49,8774055.3,55566635.94,3788156.682,116112304.1,37816589.86,26618064.52,3701612.903,37153225.81
34,16001474.65,9932764.977,61891797.24,3617834.101,115485207.4,37669493.09,27503225.81,1750645.161,17571290.32
35,17454516.13,10583387.1,74690483.87,3436774.194,113960806.5,37265322.58,27928548.39,943548.3871,11685483.87
36,30880553,10834423.96,137091520.7,2836082.949,106087880.2,35111059.91,27647096.77,2424193.548,41166129.03
37,38960714.29,10959182.03,174390956.2,2479470.046,101378122.1,33821785.71,27458467.74,3356129.032,59291612.9
38,43890714.29,10956440.09,196384020.7,2276566.82,98589573.73,33056785.71,27285725.81,4047096.774,71498709.68
39,46790714.29,10954827.19,209321117.5,2157211.982,96949251.15,32606785.71,27184112.9,4453548.387,78679354.84
40,41555238.1,9067119.816,187621958.5,1466866.359,94150852.53,31936428.57,25758548.39,3155806.452,55752580.65
41,35843333.33,7179677.419,163797419.4,796129.0323,91621935.48,31340000,24349677.42,1791290.323,31646129.03
42,32043333.33,6047419.355,147839354.8,409032.2581,90315483.87,31040000,23517419.35,920322.5806,16259032.26
43,29738000,5360516.129,138158129,174193.5484,89522903.23,30858000,23012516.13,391935.4839,6924193.548
44,24828838.71,4917677.419,140067290.3,840000,95592580.65,31654645.16,25256903.23,1212580.645,7454516.129
45,16875526.88,4519709.677,150216032.3,2283870.968,107855967.7,33316225.81,29932838.71,3151612.903,14706451.61
46,12288473.12,4336032.258,157081903.2,3169032.258,115277580.6,34327774.19,32778903.23,4357419.355,19806451.61
47,9596860.215,4247967.742,161546096.8,3710967.742,119782419.4,34944225.81,34513096.77,5102580.645,23193548.39
48,8161333.333,4201000,163927000,4000000,122185000,35273000,35438000,5500000,25000000
49,8364301.075,5641505.376,151678817.2,2314838.71,88343763.44,26589462.37,28878817.2,3182903.226,14467741.94
50,8591182.796,6509247.312,144155591.4,1282580.645,67863118.28,21355268.82,24875591.4,1763548.387,8016129.032
51,8881118.28,7034924.731,139386559.1,632258.0645,55317311.83,18179526.88,22374559.14,869354.8387,3951612.903
52,9058301.075,7356172.043,136472150.5,234838.7097,47650430.11,16238795.7,20846150.54,322903.2258,1467741.935
53,6289397.849,5139655.914,93745698.92,90322.58065,31529139.78,10866408.6,14123698.92,124193.5484,564516.129
